Post_ID,Brand_Name,Post_Type,Food_Category,Post_DateTime,Total_Likes,Total_Shares,Total_Comments,Reaction_Love,Reaction_Yummy,Reaction_Dislike,Post_Hour,Post_Day,Gender,Age_Group,Region,City_Tier,Total_Engagement,Engagement_Rate,Engagement_Category,Month,Month_Number,Quarter,Year,Is_Weekend,Day_Type,Is_Peak_Hour,Time_Period,Positive_Reactions,Sentiment_Score,Virality_Score,Virality_Category,Device_Type,Campaign_Type,Content_Theme,Share_Rate,Comment_Rate,Performance_Score,Performance_Category
POST_001,TacoBell,Static Image,Healthy/Vegan,2025-12-28 13:08:44,3429,667,333,1299,544,133,13,Sunday,Male,35-44,North America,Tier 2,4429,4.43,High,December,12,Q4,2025,1,Weekend,1,Afternoon,1843,0.865,19.45,Medium,Mobile,Paid,Health-Conscious,19.45,9.71,6096,Medium
POST_002,TacoBell,Story,Healthy/Vegan,2025-02-02 19:55:23,3775,391,94,1973,1076,16,19,Sunday,Female,25-34,Europe,Tier 1,4260,4.26,High,February,2,Q1,2025,1,Weekend,1,Evening,3049,0.99,10.35,Medium,Mobile,Paid,Health-Conscious,10.35,2.49,5136,Medium
POST_003,Starbucks,Static Image,Healthy/Vegan,2025-04-28 16:45:01,3190,164,271,1187,791,120,16,Monday,Female,25-34,South America,Tier 1,3625,3.62,High,April,4,Q2,2025,0,Weekday,0,Afternoon,1978,0.886,5.14,Low,Desktop,Organic,Health-Conscious,5.14,8.49,4224,Low
POST_004,TacoBell,Carousel,Street Food,2025-05-30 07:11:44,95,18,2,52,27,3,7,Friday,Female,35-44,Asia,Tier 1,115,0.12,Low,May,5,Q2,2025,0,Weekday,0,Morning,79,0.927,18.75,Medium,Mobile,Paid,Authentic,18.75,2.08,153,Low
POST_005,KFC,Reel (Video),Fast Food,2025-09-02 01:30:59,5859,612,495,1976,1627,157,1,Tuesday,Male,35-44,Asia,Tier 1,6966,6.97,High,September,9,Q3,2025,0,Weekday,0,Night,3603,0.916,10.44,Medium,Mobile,Organic,Indulgent,10.44,8.45,8685,Medium
POST_006,TacoBell,Story,Fast Food,2026-01-12 20:47:44,1652,311,59,526,325,37,20,Monday,Male,18-24,Asia,Tier 1,2022,2.02,Medium,January,1,Q1,2026,0,Weekday,1,Evening,851,0.917,18.81,Medium,Desktop,Organic,Indulgent,18.81,3.57,2703,Low
POST_007,Starbucks,Story,Beverages,2025-10-24 05:52:25,4593,481,457,1777,918,9,5,Friday,Male,45-54,Asia,Tier 2,5531,5.53,High,October,10,Q4,2025,0,Weekday,0,Night,2695,0.993,10.47,Medium,Mobile,Paid,Refreshing,10.47,9.95,6950,Medium
POST_008,Starbucks,Carousel,Street Food,2025-01-08 17:02:42,916,83,86,481,130,26,17,Wednesday,Female,35-44,Asia,Tier 2,1085,1.08,Medium,January,1,Q1,2025,0,Weekday,0,Afternoon,611,0.918,9.05,Low,Desktop,Organic,Authentic,9.05,9.38,1337,Low
POST_009,Dominos,Story,Street Food,2025-03-27 15:14:39,796,140,21,458,238,13,15,Thursday,Female,45-54,North America,Tier 2,957,0.96,Low,March,3,Q1,2025,0,Weekday,0,Afternoon,696,0.963,17.57,Medium,Mobile,Paid,Authentic,17.57,2.63,1258,Low
POST_010,Dominos,Static Image,Desserts,2025-09-30 20:05:52,708,126,57,247,143,26,20,Tuesday,Female,35-44,Europe,Tier 2,891,0.89,Low,September,9,Q3,2025,0,Weekday,1,Evening,390,0.875,17.77,Medium,Mobile,Paid,Indulgent,17.77,8.04,1200,Low
